DIN,DIP
0.053574976,3.32347456451429e-06
0.058559485,4.41645717980273e-05
0.059618954,0.000169019
0.057471987,0.000357824
0.052064508,0.000559946
0.047553159,0.000689088
0.046045378,0.000782012
0.047691531,0.000888881
0.053280193,0.00101927
0.061734825,0.001154918
0.069877259,0.001215724
0.076307803,0.001277625
0.08183869,0.001498169
0.086673804,0.001841435
0.08888638,0.002031196
0.08829052,0.001968979
0.08626546,0.001806344
0.081913687,0.001629742
0.074095927,0.001398958
0.067683756,0.001188145
0.065301403,0.001105951
0.066749103,0.001163235
0.071273804,0.001372236
0.078853711,0.001738655
0.033348031,3.23259029334313e-06
0.037091535,2.37337304721023e-05
0.040506113,4.40242463243317e-05
0.041807353,6.39658976003964e-05
0.041554276,8.3298403247414e-05
0.040504314,9.65347607123316e-05
0.039552733,9.92705105989871e-05
0.04002849,9.93382945937472e-05
0.04126209,0.000103468
0.042506598,0.000110866
0.043886513,0.000119624
0.04560988,0.000133638
0.049382735,0.000166071
0.054754689,0.000207407
0.059568729,0.000271397
0.06276691,0.000388742
0.062119663,0.000409071
0.059163347,0.000338265
0.055911519,0.00029168
0.052775349,0.000257639
0.050323047,0.000236793
0.049511764,0.000234641
0.050096918,0.000243693
0.052274887,0.000265723
0.037734643,2.64731470143011e-06
0.03630273,2.17863994302751e-05
0.036174491,4.23737974302227e-05
0.037113126,6.16178459396756e-05
0.038114287,8.08243694249951e-05
0.038054343,0.000101373
0.037615053,0.000122622
0.037767906,0.000143031
0.038068544,0.000156606
0.038423639,0.000171817
0.038653906,0.000195123
0.038998414,0.00021557
0.039847512,0.000230383
0.041178472,0.000247044
0.042251009,0.000269945
0.043224476,0.000297244
0.043728106,0.000322216
0.044114839,0.000340968
0.044387095,0.000351222
0.044229005,0.00035811
0.043549329,0.00036694
0.043065879,0.000380033
0.043015942,0.000394268
0.043280236,0.000409586
0.037411984,3.15019121836507e-06
0.037645936,2.26725143746781e-05
0.038546234,5.62321968755776e-05
0.041594576,0.000134991
0.045624871,0.000297419
0.04856386,0.000474263
0.048972864,0.000561458
0.050224632,0.000723023
0.052623805,0.000914182
0.056324422,0.001178967
0.060141847,0.001471085
0.063456446,0.001755032
0.067029126,0.002080345
0.07237602,0.002570251
0.077710494,0.003043019
0.081988305,0.003374334
0.087116018,0.003725959
0.093675762,0.004206413
0.099110812,0.00464397
0.103391066,0.005029998
0.109107718,0.005538985
0.113098323,0.005903625
0.113713883,0.005973259
0.114410102,0.006042369
0.055202994,2.58137746152406e-06
0.069572501,0.001051063
0.077445269,0.001678762
0.083396792,0.002063015
0.089401908,0.00241218
0.095091939,0.002773777
0.099247426,0.003117097
0.101093292,0.003387107
0.099936754,0.003511518
0.098656707,0.003620375
0.09901531,0.003787097
0.100423522,0.003982562
0.10190662,0.004133255
0.103457898,0.004262751
0.105421171,0.004442749
0.108872682,0.004788853
0.114162005,0.005248502
0.118457064,0.005546104
0.11979641,0.005719164
0.120337158,0.005819318
0.118739396,0.005809749
0.10788691,0.004946819
0.103025332,0.004508948
0.105112143,0.004781752
0.066312388,2.46231679726174e-06
0.079788253,0.001601658
0.085077062,0.002172487
0.086299852,0.002274772
0.086980633,0.002339926
0.090938315,0.002501145
0.093726359,0.002666308
0.09242297,0.002703744
0.085987799,0.002398882
0.077568322,0.001586467
0.073216215,0.001162289
0.072108105,0.001280736
0.072747856,0.001455198
0.074218422,0.001499129
0.076728791,0.001609318
0.080914706,0.001941156
0.087943241,0.002501034
0.093730584,0.002784763
0.096583948,0.002872103
0.097817987,0.002911986
0.097226933,0.002929622
0.092240192,0.002768997
0.084116109,0.002086877
0.078633502,0.001592123
0.062246218,2.99619560877412e-06
0.062664948,7.31976315127811e-05
0.061411042,5.8039433728391e-05
0.061284956,7.25387434304202e-05
0.063881636,0.000106395
0.068520814,0.00025122
0.073077142,0.000452264
0.075006127,0.000534528
0.075711071,0.000618844
0.073608786,0.000567432
0.068564013,0.000387465
0.06643746,0.000336266
0.066218004,0.000352797
0.066461779,0.000363427
0.067080677,0.000353352
0.06795229,0.000334606
0.068584956,0.000331687
